[alignatt] en→ja, 15430문장
  [ja] 25/15430  14s  ETA 144.5m
  [ja] 15100/15430  2760s  ETA 1.0m
  [ja] 15125/15430  2765s  ETA 0.9m
  [ja] 15150/15430  2769s  ETA 0.9m
  [ja] 15175/15430  2774s  ETA 0.8m
  [ja] 15200/15430  2780s  ETA 0.7m
  [ja] 15225/15430  2785s  ETA 0.6m
  [ja] 15250/15430  2789s  ETA 0.5m
  [ja] 15275/15430  2793s  ETA 0.5m
  [ja] 15300/15430  2798s  ETA 0.4m
  [ja] 15325/15430  2804s  ETA 0.3m
  [ja] 15350/15430  2808s  ETA 0.2m
  [ja] 15375/15430  2812s  ETA 0.2m
  [ja] 15400/15430  2816s  ETA 0.1m
  [ja] 15425/15430  2821s  ETA 0.0m
  [ja] alignatt: 평균 조각수 4.04, 무분절 문장 1142/15430, 2822s
  → /home/mobility/STiTy/core/meaning_segmentator/runs/covost2/full/baselines/alignatt_ja_test.json (15430행)
